fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
1083	8432	4900	1861	5238	3419	1219	2651	387	297	203	448
1085	14194	6930	2664	6532	3769	1464	6737	596	2955	482	566
1087	9714	5517	2046	4723	3176	1119	4283	718	595	482	510
1089	8941	4970	1812	5334	3334	1165	3125	423	480	132	577
1091	8712	4991	1866	5073	3297	1169	2981	569	398	349	542
1093	8122	4845	1836	4979	3291	1192	2547	424	229	211	539
1095	8492	5000	1862	4861	3218	1148	2960	524	314	286	545
1097	8468	4759	1852	4633	3020	1110	3262	498	419	104	458
1099	8388	4760	1847	4786	3168	1151	3012	494	315	179	538
1101	8148	4863	1868	4597	3103	1129	2930	517	530	130	413
1103	9131	5482	2047	5548	3743	1315	2963	505	361	214	567
1105	9268	5368	2047	4955	3302	1205	3409	550	469	357	498
