show	network	network_type	season	episode	air_date	viewers
The Big Bang Theory	CBS	local	6	24	5/16/13	15.48
The Big Bang Theory	CBS	local	7	1	9/26/13	18.99
The Big Bang Theory	CBS	local	7	2	9/26/13	20.44
The Big Bang Theory	CBS	local	7	3	10/3/13	18.22
The Big Bang Theory	CBS	local	7	4	10/10/13	17.64
The Big Bang Theory	CBS	local	7	5	10/17/13	17.8
The Big Bang Theory	CBS	local	7	6	10/24/13	16.98
The Big Bang Theory	CBS	local	7	7	11/7/13	16.89
The Big Bang Theory	CBS	local	7	8	11/14/13	18.3
The Big Bang Theory	CBS	local	7	9	11/21/13	18.94
The Big Bang Theory	CBS	local	7	10	12/5/13	15.63
The Big Bang Theory	CBS	local	7	11	12/12/13	17.68
The Big Bang Theory	CBS	local	7	12	1/2/14	19.2
The Big Bang Theory	CBS	local	7	13	1/9/14	20.35
The Big Bang Theory	CBS	local	7	14	1/30/14	19.05
The Big Bang Theory	CBS	local	7	15	2/6/14	17.53
The Big Bang Theory	CBS	local	7	16	2/27/14	17.73
The Big Bang Theory	CBS	local	7	17	3/6/14	18.09
The Big Bang Theory	CBS	local	7	18	3/13/14	17.34
The Big Bang Theory	CBS	local	7	19	4/3/14	17.73
The Big Bang Theory	CBS	local	7	20	4/10/14	16.49
The Big Bang Theory	CBS	local	7	21	4/24/14	16.44
The Big Bang Theory	CBS	local	7	22	5/1/14	16.07
The Big Bang Theory	CBS	local	7	23	5/8/14	14.42
The Big Bang Theory	CBS	local	7	24	5/15/14	16.73
The Big Bang Theory	CBS	local	8	1	9/22/14	18.03
The Big Bang Theory	CBS	local	8	2	9/22/14	18.24
The Big Bang Theory	CBS	local	8	3	9/29/14	16.38
Sons of Anarchy	FX	basic	3	1	9/7/10	4.13
Sons of Anarchy	FX	basic	3	2	9/14/10	3.37
Sons of Anarchy	FX	basic	3	3	9/21/10	3.48
Sons of Anarchy	FX	basic	3	4	9/28/10	2.98
Sons of Anarchy	FX	basic	3	5	10/5/10	3.12
Sons of Anarchy	FX	basic	3	6	10/12/10	2.85
Sons of Anarchy	FX	basic	3	7	10/19/10	2.59
Sons of Anarchy	FX	basic	3	8	10/26/10	2.67
Sons of Anarchy	FX	basic	3	9	11/2/10	3.35
Sons of Anarchy	FX	basic	3	10	11/9/10	3.18
Sons of Anarchy	FX	basic	3	11	11/16/10	3.4
Sons of Anarchy	FX	basic	3	12	11/23/10	3.27
Sons of Anarchy	FX	basic	3	13	11/30/10	3.59
Sons of Anarchy	FX	basic	4	1	9/6/11	4.93
Sons of Anarchy	FX	basic	4	2	9/13/11	3.71
Sons of Anarchy	FX	basic	4	3	9/20/11	3.42
Sons of Anarchy	FX	basic	4	4	9/27/11	3.28
Sons of Anarchy	FX	basic	4	5	10/4/11	3.51
Sons of Anarchy	FX	basic	4	6	10/11/11	3.56
Sons of Anarchy	FX	basic	4	7	10/18/11	3.65
Sons of Anarchy	FX	basic	4	8	10/25/11	3.82
Sons of Anarchy	FX	basic	4	9	11/1/11	3.63
Sons of Anarchy	FX	basic	4	10	11/8/11	3.93
Sons of Anarchy	FX	basic	4	11	11/15/11	4.23
Sons of Anarchy	FX	basic	4	12	11/22/11	3.85
Sons of Anarchy	FX	basic	4	13	11/29/11	4.42
Sons of Anarchy	FX	basic	4	14	12/6/11	4.24
Sons of Anarchy	FX	basic	5	1	9/11/12	5.37
Sons of Anarchy	FX	basic	5	2	9/18/12	4.17
Sons of Anarchy	FX	basic	5	3	9/25/12	3.8
Sons of Anarchy	FX	basic	5	4	10/2/12	4.6
Sons of Anarchy	FX	basic	5	5	10/9/12	4.34
Sons of Anarchy	FX	basic	5	6	10/16/12	4.03
Sons of Anarchy	FX	basic	5	7	10/23/12	4.3
Sons of Anarchy	FX	basic	5	8	10/30/12	4.58
Sons of Anarchy	FX	basic	5	9	11/6/12	3.96
Sons of Anarchy	FX	basic	5	10	11/13/12	4.58
Sons of Anarchy	FX	basic	5	11	11/20/12	4.23
Sons of Anarchy	FX	basic	5	12	11/27/12	4.25
Sons of Anarchy	FX	basic	5	13	12/4/12	4.66
Sons of Anarchy	FX	basic	6	1	9/10/13	5.87
Sons of Anarchy	FX	basic	6	2	9/17/13	4.63
Sons of Anarchy	FX	basic	6	3	9/24/13	4.48
Sons of Anarchy	FX	basic	6	4	10/1/13	4.59
Sons of Anarchy	FX	basic	6	5	10/8/13	4.46
Sons of Anarchy	FX	basic	6	6	10/15/13	4.35
Sons of Anarchy	FX	basic	6	7	10/22/13	4.38
Sons of Anarchy	FX	basic	6	8	10/29/13	4.2
Sons of Anarchy	FX	basic	6	9	11/5/13	4.49
Sons of Anarchy	FX	basic	6	10	11/12/13	4.38
Sons of Anarchy	FX	basic	6	11	11/19/13	4.17
Sons of Anarchy	FX	basic	6	12	12/3/13	4.58
Sons of Anarchy	FX	basic	6	13	12/10/13	5.17
Sons of Anarchy	FX	basic	7	1	9/9/14	6.2
Sons of Anarchy	FX	basic	7	2	9/16/14	4.83
Sons of Anarchy	FX	basic	7	3	9/23/14	4.13
Sons of Anarchy	FX	basic	7	4	9/30/14	4.04
Sons of Anarchy	FX	basic	7	5	10/7/14	4.32
Fargo	FX	basic	1	1	4/15/14	2.65
Fargo	FX	basic	1	2	4/22/14	2.04
Fargo	FX	basic	1	3	4/29/14	1.87
Fargo	FX	basic	1	4	5/6/14	1.7
Fargo	FX	basic	1	5	5/13/14	1.6
Fargo	FX	basic	1	6	5/20/14	1.8
Fargo	FX	basic	1	7	5/27/14	1.52
Fargo	FX	basic	1	8	6/3/14	1.86
Fargo	FX	basic	1	9	6/10/14	1.9
Fargo	FX	basic	1	10	6/17/14	1.98
True Blood	HBO	premium	4	1	6/26/11	5.42
True Blood	HBO	premium	4	2	7/3/11	2.9
True Blood	HBO	premium	4	3	7/10/11	5.04
True Blood	HBO	premium	4	4	7/17/11	5.1
True Blood	HBO	premium	4	5	7/24/11	5.26
True Blood	HBO	premium	4	6	7/31/11	5.19
True Blood	HBO	premium	4	7	8/7/11	5.14
True Blood	HBO	premium	4	8	8/14/11	5.3
True Blood	HBO	premium	4	9	8/21/11	5.53
True Blood	HBO	premium	4	10	8/28/11	5.31
True Blood	HBO	premium	4	11	9/4/11	4.39
True Blood	HBO	premium	4	12	9/11/11	5.05
True Blood	HBO	premium	5	1	6/10/12	5.2
True Blood	HBO	premium	5	2	6/17/12	4.42
True Blood	HBO	premium	5	3	6/24/12	4.66
True Blood	HBO	premium	5	4	7/1/12	4.54
True Blood	HBO	premium	5	5	7/8/12	4.5
True Blood	HBO	premium	5	6	7/15/12	4.63
True Blood	HBO	premium	5	7	7/22/12	4.46
True Blood	HBO	premium	5	8	7/29/12	4.6
True Blood	HBO	premium	5	9	8/5/12	4.5
True Blood	HBO	premium	5	10	8/12/12	4.49
True Blood	HBO	premium	5	11	8/19/12	4.93
True Blood	HBO	premium	5	12	8/26/12	5.05
True Blood	HBO	premium	6	1	6/16/13	4.52
True Blood	HBO	premium	6	2	6/23/13	4.08
True Blood	HBO	premium	6	3	6/30/13	3.94
True Blood	HBO	premium	6	4	7/7/13	4.14
True Blood	HBO	premium	6	5	7/14/13	4.54
True Blood	HBO	premium	6	6	7/21/13	4.47
True Blood	HBO	premium	6	7	7/28/13	4.36
True Blood	HBO	premium	6	8	8/4/13	4.17
True Blood	HBO	premium	6	9	8/11/13	4
True Blood	HBO	premium	6	10	8/18/13	4.14
True Blood	HBO	premium	7	1	6/22/14	4.03
True Blood	HBO	premium	7	2	6/29/14	3.06
True Blood	HBO	premium	7	3	7/6/14	3.2
True Blood	HBO	premium	7	4	7/13/14	3.23
True Blood	HBO	premium	7	5	7/20/14	3.57
True Blood	HBO	premium	7	6	7/27/14	3.38
True Blood	HBO	premium	7	7	8/3/14	3.39
True Blood	HBO	premium	7	8	8/10/14	3.34
True Blood	HBO	premium	7	9	8/17/14	3.56
True Blood	HBO	premium	7	10	8/24/14	4.04
