Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Kyle Korver	9.2	-1.411	-0.402	0.61	1.085	-0.971	-0.696	-0.392	-0.356	-0.289	0.728	43.4	83.3	2	9.2	3.3	2.1	0.8	0.4	1.2
Mike Conley	15.3	1.5	-0.637	0.619	0.355	0.351	-0.853	1.573	0.564	-0.472	0.341	42.2	83.4	1.4	15.3	2.9	6.1	1.2	0.3	1.5
Evan Fournier	15.4	0.796	0.148	0.638	1.085	0.372	-0.892	-0.097	0.564	-1.022	0.082	46.2	83.6	2	15.4	2.8	2.7	1.2	0	1.7
Jeff Teague	15.7	1.771	-0.303	0.648	0.355	0.437	-0.932	1.474	0.564	-0.472	-1.337	43.9	83.7	1.4	15.7	2.7	5.9	1.2	0.3	2.8
Kristaps Porzingis	14.3	2.089	-0.657	0.657	-0.01	0.134	0.873	-0.785	-0.586	2.463	0.082	42.1	83.8	1.1	14.3	7.3	1.3	0.7	1.9	1.7
Courtney Lee	9.6	-1.873	-0.009	0.667	-0.132	-0.885	-0.971	-0.588	0.334	-0.289	1.115	45.4	83.9	1	9.6	2.6	1.7	1.1	0.4	0.9
Devin Booker	13.8	-2.126	-0.618	0.676	0.233	0.026	-1.01	-0.146	-0.815	-0.472	-0.434	42.3	84	1.3	13.8	2.5	2.6	0.6	0.3	2.1
Arron Afflalo	12.8	-2.601	-0.225	0.676	0.233	-0.191	-0.539	-0.441	-1.275	-0.839	0.728	44.3	84	1.3	12.8	3.7	2	0.4	0.1	1.2
Jrue Holiday	16.8	2.571	-0.303	0.705	0.233	0.676	-0.814	1.523	1.023	-0.472	-1.079	43.9	84.3	1.3	16.8	3	6	1.4	0.3	2.6
Kemba Walker	20.9	5.341	-0.539	0.743	1.329	1.564	-0.265	1.131	1.483	-0.105	-0.434	42.7	84.7	2.2	20.9	4.4	5.2	1.6	0.5	2.1
Ricky Rubio	10.1	2.35	-1.579	0.743	-0.376	-0.776	-0.304	2.849	2.632	-0.839	-0.95	37.4	84.7	0.8	10.1	4.3	8.7	2.1	0.1	2.5
Raymond Felton	9.5	-2.661	-0.951	0.743	-0.376	-0.906	-0.735	0.345	-0.126	-0.655	0.341	40.6	84.7	0.8	9.5	3.2	3.6	0.9	0.2	1.5
Marcus Thornton	9.7	-3.665	-1.089	0.752	0.476	-0.863	-1.01	-0.736	-0.356	-0.839	1.244	39.9	84.8	1.5	9.7	2.5	1.4	0.8	0.1	0.8
Toney Douglas	8.7	-2.687	-0.853	0.752	0.233	-1.08	-1.088	-0.146	0.334	-0.839	0.986	41.1	84.8	1.3	8.7	2.3	2.6	1.1	0.1	1
Nicolas Batum	14.9	3.331	-0.559	0.762	1.085	0.264	0.402	1.425	-0.126	0.078	-1.466	42.6	84.9	2	14.9	6.1	5.8	0.9	0.6	2.9
DeMar DeRozan	23.5	2.062	-0.166	0.771	-0.619	2.128	-0.225	0.541	0.104	-0.472	-0.563	44.6	85	0.6	23.5	4.5	4	1	0.3	2.2
Brandon Knight	19.6	3.643	-0.775	0.79	1.45	1.283	-0.461	1.081	0.564	-0.289	-2.112	41.5	85.2	2.3	19.6	3.9	5.1	1.2	0.4	3.4
Gary Neal	9.8	-4.015	0.207	0.819	-0.132	-0.841	-1.167	-0.834	-1.045	-1.022	1.373	46.5	85.5	1	9.8	2.1	1.2	0.5	0	0.7
Doug McDermott	9.4	-4.485	-0.048	0.838	0.355	-0.928	-1.049	-1.079	-1.735	-0.839	1.373	45.2	85.7	1.4	9.4	2.4	0.7	0.2	0.1	0.7
LaMarcus Aldridge	18	2.191	1.149	0.847	-1.349	0.936	1.344	-0.687	-1.045	0.996	0.599	51.3	85.8	0	18	8.5	1.5	0.5	1.1	1.3
Darren Collison	14	0.512	0.619	0.847	0.111	0.069	-1.088	0.689	0.104	-0.839	-0.047	48.6	85.8	1.2	14	2.3	4.3	1	0.1	1.8
James Harden	29	10.517	-0.303	0.866	2.181	3.32	0.402	2.26	1.713	0.078	-3.661	43.9	86	2.9	29	6.1	7.5	1.7	0.6	4.6
Paul George	23.1	7.234	-0.716	0.866	1.815	2.041	0.755	0.59	2.172	-0.289	-1.983	41.8	86	2.6	23.1	7	4.1	1.9	0.4	3.3
Rodney Hood	14.5	-0.083	-0.676	0.866	1.085	0.177	-0.657	-0.097	-0.126	-0.655	0.211	42	86	2	14.5	3.4	2.7	0.9	0.2	1.6
Wesley Matthews	12.5	-0.91	-1.305	0.895	1.572	-0.256	-0.775	-0.49	0.104	-0.655	0.986	38.8	86.3	2.4	12.5	3.1	1.9	1	0.2	1
Reggie Jackson	18.8	1.549	-0.402	0.904	0.476	1.109	-0.735	1.622	-0.586	-0.839	-1.337	43.4	86.4	1.5	18.8	3.2	6.2	0.7	0.1	2.8
Allen Crabbe	10.3	-2.133	0.089	0.933	0.355	-0.733	-0.932	-0.834	-0.356	-0.655	1.244	45.9	86.7	1.4	10.3	2.7	1.2	0.8	0.2	0.8
Danilo Gallinari	19.5	1.177	-0.873	0.942	0.598	1.261	0.089	-0.195	-0.356	-0.289	0.341	41	86.8	1.6	19.5	5.3	2.5	0.8	0.4	1.5
Deron Williams	14.1	0.516	-0.794	0.952	0.476	0.091	-0.853	1.425	-0.126	-0.655	-0.692	41.4	86.9	1.5	14.1	2.9	5.8	0.9	0.2	2.3
Isaiah Thomas	22.2	3.686	-0.519	0.971	1.085	1.846	-0.814	1.622	0.334	-0.839	-1.208	42.8	87.1	2	22.2	3	6.2	1.1	0.1	2.7
Klay Thompson	22.1	4.861	0.305	0.99	2.911	1.825	-0.5	-0.392	-0.356	0.078	0.082	47	87.3	3.5	22.1	3.8	2.1	0.8	0.6	1.7
Ryan Anderson	17	0.631	-0.539	0.99	1.085	0.719	0.363	-0.883	-0.815	-0.289	0.47	42.7	87.3	2	17	6	1.1	0.6	0.4	1.4
Kawhi Leonard	21.2	7.769	1.012	0.999	0.842	1.63	0.677	-0.146	1.943	0.812	0.341	50.6	87.4	1.8	21.2	6.8	2.6	1.8	1	1.5
Kyrie Irving	19.6	2.791	-0.127	1.104	0.598	1.283	-0.814	0.885	0.334	-0.472	-0.692	44.8	88.5	1.6	19.6	3	4.7	1.1	0.3	2.3
Khris Middleton	18.2	3.945	-0.205	1.132	0.842	0.979	-0.5	0.639	1.713	-0.655	-0.692	44.4	88.8	1.8	18.2	3.8	4.2	1.7	0.2	2.3
JJ Redick	16.3	0.502	0.501	1.132	1.937	0.567	-1.245	-0.736	-0.815	-0.839	0.986	48	88.8	2.7	16.3	1.9	1.4	0.6	0.1	1
Eric Gordon	15.2	0.846	-0.716	1.132	1.694	0.329	-1.128	-0.097	0.104	-0.472	0.211	41.8	88.8	2.5	15.2	2.2	2.7	1	0.3	1.6
Kevin Martin	9.3	-5.645	-1.619	1.151	-0.254	-0.95	-1.206	-0.883	-1.045	-0.839	0.986	37.2	89	0.9	9.3	2	1.1	0.5	0.1	1
Damian Lillard	25.1	6.452	-0.696	1.17	2.424	2.475	-0.422	1.916	-0.126	-0.289	-1.854	41.9	89.2	3.1	25.1	4	6.8	0.9	0.4	3.2
Dirk Nowitzki	18.3	2.47	-0.127	1.18	0.72	1.001	0.559	-0.539	-0.586	0.262	0.857	44.8	89.3	1.7	18.3	6.5	1.8	0.7	0.7	1.1
Jarrett Jack	12.8	1.197	-1.246	1.18	-0.132	-0.191	-0.304	2.211	0.334	-0.655	-1.466	39.1	89.3	1	12.8	4.3	7.4	1.1	0.2	2.9
Chris Paul	19.5	8.337	0.148	1.208	0.598	1.261	-0.343	3.488	2.632	-0.655	-1.079	46.2	89.6	1.6	19.5	4.2	10	2.1	0.2	2.6
Sean Kilpatrick	11.1	-3.469	0.03	1.208	0.233	-0.56	-1.285	-0.981	-1.275	-0.839	0.986	45.6	89.6	1.3	11.1	1.8	0.9	0.4	0.1	1
Kevin Durant	28.2	10.722	0.992	1.227	1.815	3.147	1.226	1.032	0.104	1.179	-2.241	50.5	89.8	2.6	28.2	8.2	5	1	1.2	3.5
Jamal Crawford	14.2	-1.938	-0.99	1.284	0.476	0.112	-1.285	-0.294	-0.586	-0.655	0.47	40.4	90.4	1.5	14.2	1.8	2.3	0.7	0.2	1.4
Mo Williams	8.2	-4.365	-0.343	1.294	-0.254	-1.188	-1.285	-0.245	-1.505	-0.839	0.47	43.7	90.5	0.9	8.2	1.8	2.4	0.3	0.1	1.4
Stephen Curry	30.1	14.684	0.973	1.322	4.858	3.559	0.128	1.867	2.632	-0.655	-1.983	50.4	90.8	5.1	30.1	5.4	6.7	2.1	0.2	3.3
Jordan Farmar	9.2	-0.148	-0.676	2.196	0.233	-0.971	-1.167	0.099	0.793	-0.655	0.341	42	100	1.3	9.2	2.1	3.1	1.3	0.2	1.5
CJ McCollum	20.8	3.708	-0.127	0.552	1.694	1.543	-0.735	0.689	0.564	-0.472	-0.95	44.8	82.7	2.5	20.8	3.2	4.3	1.2	0.3	2.5
Lou Williams	15.3	-1.185	-0.912	0.581	0.598	0.351	-1.01	-0.195	-0.126	-0.472	0.211	40.8	83	1.6	15.3	2.5	2.5	0.9	0.3	1.6
CJ Miles	11.8	-2.475	-0.892	-0.179	1.329	-0.408	-0.932	-0.932	-0.356	-0.105	0.857	40.9	75	2.2	11.8	2.7	1	0.8	0.5	1.1
Otto Porter	11.6	0.151	0.364	-0.141	0.233	-0.451	0.049	-0.637	1.023	-0.289	1.115	47.3	75.4	1.3	11.6	5.2	1.6	1.4	0.4	0.9
TJ Warren	11	-3.496	0.914	-0.626	-0.619	-0.581	-0.775	-0.981	-0.356	-0.472	1.373	50.1	70.3	0.6	11	3.1	0.9	0.8	0.3	0.7
Jose Juan Barea	10.9	-3.268	-0.166	0.02	0.355	-0.603	-1.167	0.59	-1.275	-1.022	0.341	44.6	77.1	1.4	10.9	2.1	4.1	0.4	0	1.5
Nene	9.2	-3.42	1.758	-1.814	-1.349	-0.971	-0.225	-0.588	-0.126	-0.105	0.599	54.4	57.8	0	9.2	4.5	1.7	0.9	0.5	1.3
												45.44572864	76.88592965	1.108542714	13.68190955	5.074371859	2.89798995	0.954773869	0.557286432	1.763819095
												5.094244397	10.52333148	0.821554714	4.613675801	2.54887826	2.036253329	0.435099277	0.545087401	0.774789637
