Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Ish Smith	12.6	-1.097	-0.853	-0.721	-0.497	-0.235	-0.422	1.769	0.334	-0.472	-0.692	41.1	69.3	0.7	12.6	4	6.5	1.1	0.3	2.3
Draymond Green	14	6.932	0.698	-0.692	0.111	0.069	1.736	2.211	1.253	1.546	-1.854	49	69.6	1.2	14	9.5	7.4	1.5	1.4	3.2
Tim Duncan	8.6	-0.644	0.658	-0.635	-1.349	-1.101	0.873	-0.097	-0.356	1.363	0.341	48.8	70.2	0	8.6	7.3	2.7	0.8	1.3	1.5
Marcin Gortat	13.5	1.919	2.209	-0.607	-1.349	-0.039	1.893	-0.736	-0.815	1.363	0.211	56.7	70.5	0	13.5	9.9	1.4	0.6	1.3	1.6
Derrick Favors	16.4	2.652	1.188	-0.569	-1.349	0.589	1.187	-0.687	0.564	1.729	0.082	51.5	70.9	0	16.4	8.1	1.5	1.2	1.5	1.7
Jordan Hill	8.8	-3.477	1.012	-0.54	-1.349	-1.058	0.442	-0.834	-1.045	-0.105	0.599	50.6	71.2	0	8.8	6.2	1.2	0.5	0.5	1.3
Dion Waiters	9.8	-4.434	-1.089	-0.531	-0.01	-0.841	-0.971	-0.441	0.104	-0.655	0.341	39.9	71.3	1.1	9.8	2.6	2	1	0.2	1.5
Julius Randle	11.3	-2.159	-0.5	-0.512	-1.228	-0.516	2.011	-0.539	-0.586	-0.289	-0.047	42.9	71.5	0.1	11.3	10.2	1.8	0.7	0.4	1.8
DeMarcus Cousins	26.9	8.051	-0.068	-0.483	-0.01	2.865	2.521	0.197	1.483	1.546	-2.628	45.1	71.8	1.1	26.9	11.5	3.3	1.6	1.4	3.8
Hollis Thompson	9.8	-4.4	-1.128	-0.474	0.963	-0.841	-0.618	-0.785	-1.045	-0.472	0.986	39.7	71.9	1.9	9.8	3.5	1.3	0.5	0.3	1
Ersan Ilyasova	10.4	-3.259	-0.598	-0.455	0.233	-0.711	0.128	-0.981	-0.586	-0.289	0.986	42.4	72.1	1.3	10.4	5.4	0.9	0.7	0.4	1
Giannis Antetokounmpo	16.9	4.251	1.012	-0.426	-0.862	0.698	1.03	0.689	0.564	1.546	-1.079	50.6	72.4	0.4	16.9	7.7	4.3	1.2	1.4	2.6
Luis Scola	8.7	-4.021	-0.087	-0.407	-0.254	-1.08	-0.108	-0.981	-0.815	-0.289	1.115	45	72.6	0.9	8.7	4.8	0.9	0.6	0.4	0.9
Blake Griffin	21.4	2.87	0.874	-0.398	-1.106	1.673	1.305	0.983	-0.356	-0.105	-0.821	49.9	72.7	0.2	21.4	8.4	4.9	0.8	0.5	2.4
Goran Dragic	14.1	0.256	0.443	-0.398	-0.254	0.091	-0.5	1.425	0.104	-0.655	-1.079	47.7	72.7	0.9	14.1	3.8	5.8	1	0.2	2.6
Myles Turner	10.3	-2.145	0.855	-0.398	-1.228	-0.733	0.167	-1.079	-1.275	1.546	0.857	49.8	72.7	0.1	10.3	5.5	0.7	0.4	1.4	1.1
Jeremy Lamb	8.8	-4.154	-0.068	-0.398	-0.376	-1.058	-0.5	-0.834	-0.815	-0.105	1.244	45.1	72.7	0.8	8.8	3.8	1.2	0.6	0.5	0.8
Alex Len	9	-3.813	-0.618	-0.388	-1.349	-1.015	0.991	-0.834	-1.045	0.445	-0.176	42.3	72.8	0	9	7.6	1.2	0.5	0.8	1.9
LeBron James	25.3	7.364	1.287	-0.36	-0.01	2.518	0.912	1.916	1.023	0.078	-1.983	52	73.1	1.1	25.3	7.4	6.8	1.4	0.6	3.3
Markieff Morris	12	-2.316	-0.578	-0.322	-0.497	-0.365	0.167	-0.49	-0.126	-0.105	-0.434	42.5	73.5	0.7	12	5.5	1.9	0.9	0.5	2.1
D'Angelo Russell	13.2	-1.233	-0.873	-0.303	0.598	-0.104	-0.657	0.197	0.564	-0.655	-0.95	41	73.7	1.6	13.2	3.4	3.3	1.2	0.2	2.5
Al-Farouq Aminu	10.2	-1.571	-0.755	-0.303	0.476	-0.755	0.402	-0.588	-0.126	0.078	0.341	41.6	73.7	1.5	10.2	6.1	1.7	0.9	0.6	1.5
Shelvin Mack	8.6	-4.163	-0.303	-0.293	-0.376	-1.101	-1.01	0.345	-0.586	-0.839	-0.047	43.9	73.8	0.8	8.6	2.5	3.6	0.7	0.1	1.8
Greg Monroe	15.3	1.541	1.326	-0.274	-1.349	0.351	1.462	-0.294	-0.126	0.445	0.211	52.2	74	0	15.3	8.8	2.3	0.9	0.8	1.6
Jeff Green	11.7	-3.135	-0.48	-0.227	-0.376	-0.43	-0.343	-0.588	-0.586	-0.105	0.728	43	74.5	0.8	11.7	4.2	1.7	0.7	0.5	1.2
Marcus Morris	14.1	-1.158	-0.402	-0.189	0.355	0.091	0.01	-0.195	-0.356	-0.472	-0.047	43.4	74.9	1.4	14.1	5.1	2.5	0.8	0.3	1.8
Kelly Olynyk	10	-2.385	0.011	-0.179	0.111	-0.798	-0.382	-0.687	-0.356	-0.105	0.857	45.5	75	1.2	10	4.1	1.5	0.8	0.5	1.1
Alec Burks	13.3	-3.961	-0.873	-0.16	-0.132	-0.083	-0.618	-0.441	-0.815	-0.839	0.211	41	75.2	1	13.3	3.5	2	0.6	0.1	1.6
Serge Ibaka	12.6	0.776	0.482	-0.16	-0.376	-0.235	0.677	-1.03	-1.045	2.463	0.47	47.9	75.2	0.8	12.6	6.8	0.8	0.5	1.9	1.4
Nikola Vucevic	18.2	2.662	1.09	-0.151	-1.349	0.979	1.501	-0.048	-0.356	0.996	-0.176	51	75.3	0	18.2	8.9	2.8	0.8	1.1	1.9
Cody Zeller	8.7	-1.324	1.463	-0.141	-1.349	-1.08	0.442	-0.932	-0.356	0.629	1.115	52.9	75.4	0	8.7	6.2	1	0.8	0.9	0.9
Luol Deng	12.3	-0.622	0.011	-0.132	0.111	-0.3	0.363	-0.49	0.104	-0.289	0.857	45.5	75.5	1.2	12.3	6	1.9	1	0.4	1.1
