player	initials	team	pos	pick	value	own
Tim Wright	TW	NE	TE	141.1	1.7	16.6
Ravens D/ST	RD	Bal	D/ST	141.5	1.3	17.9
Nick Novak	NN	SD	K	141.6	1.3	98.4
James Starks	JS	GB	RB	141.7	1.1	51.5
Matt Prater	MP	Den	K	142.2	2	16.4
Delanie Walker	DW	Ten	TE	142.3	1.1	57.4
Knile Davis	KD	KC	RB	142.4	1.2	48.1
Buccaneers D/ST	BD	TB	D/ST	143.6	1.1	54.8
Dan Bailey	DB	Dal	K	143.8	1.2	91.9
Andrew Hawkins	AH	Cle	WR	144.3	1.3	15.5
Kenny Stills	KS	NO	WR	144.3	1.4	13
Jonathan Stewart	JS	Car	RB	144.5	1.1	28.3
Christine Michael	CM	Sea	RB	144.8	1.3	28.4
Marqise Lee	ML	Jac	WR	144.9	1.3	19.9
Dexter McCluster	DM	Ten	WR	145.1	1.2	17.2
Browns D/ST	BD	Cle	D/ST	145.4	1.3	14
C.J. Anderson	CA	Den	RB	145.6	1.2	37
Blair Walsh	BW	Min	K	145.8	1.3	88.5
Brian Hartline	BH	Mia	WR	146.3	1.2	13.3
Greg Zuerlein	GZ	StL	K	146.3	0	11.2
Ahmad Bradshaw	AB	Ind	RB	146.6	1.3	19.4
Bills D/ST	BD	Buf	D/ST	147.1	1.1	39.1
Roy Helu	RH	Wsh	RB	147.4	1.1	33
Robbie Gould	RG	Chi	K	147.9	1.3	51.6
Cody Parkey	CP	Phi	K	149.5	0	11
Brandon McManus	BM	Den	K	150.5	0	12
Nick Folk	NF	NYJ	K	151.5	1	55.2
Matt Bryant	MB	Atl	K	151.8	1.3	29.1
Eagles D/ST	ED	Phi	D/ST	170	0	13.4
Aaron Dobson	AD	NE	WR	170	0	9.4
Jared Cook	JC	StL	TE	170	0	9.3
Travis Kelce	TK	KC	TE	170	0	9.2
