Location	Month	Day	NormalDailyMax	NormalDailyMin	NormalDailyPrecip	DailyRecordMax	DailyRecordMaxYear	DailyRecordMin	DailyRecordMinYear
Boulder	7	30	85.73	57.3	0.22	98	2006	49	2009
Boulder	7	31	87.97	57.23	0.06	100	2002	47	2009
Boulder	8	1	86.77	57.5	0.04	98	2008	44	1995
Boulder	8	2	86.13	56.77	0.03	99	2008	49	1995
Boulder	8	3	85.6	57.8	0.09	96	2019	49	1993
Boulder	8	4	84.63	56.67	0.15	93	2019	47	1993
Boulder	8	5	84.27	57.13	0.11	95	2001	48	1990
Boulder	8	6	86.27	56.6	0.12	96	2012	47	1993
Boulder	8	7	86.87	56.17	0.05	99	1995	49	1996
Boulder	8	8	87.53	57.3	0.02	97	2000	48	1996
Boulder	8	9	87.07	57.03	0.07	96	2019	52	2017
Boulder	8	10	85.53	57.27	0.04	95	2019	50	2013
Boulder	8	11	85.97	56.87	0.08	95	2002	51	2017
Boulder	8	12	84.93	55.77	0.04	99	1996	47	2004
Boulder	8	13	85.1	54.67	0.01	97	2007	44	2004
Boulder	8	14	85.1	56.07	0.03	95	2007	48	2004
Boulder	8	15	85.73	55.33	0.06	96	2015	48	2008
Boulder	8	16	85.37	55.2	0.07	100	2002	47	2009
Boulder	8	17	84.5	54.4	0.09	92	2014	45	2008
Boulder	8	18	84.43	55.73	0.1	98	2002	49	2009
Boulder	8	19	83.27	55.03	0.11	96	2019	44	2015
Boulder	8	20	85.5	54.33	0.02	98	2019	43	2016
Boulder	8	21	86.1	55.57	0.03	96	2007	46	2016
Boulder	8	22	86.2	56.57	0.01	94	2011	52	2017
Boulder	8	23	85.3	56.1	0.02	98	2011	44	2015
Boulder	8	24	85.53	56.13	0.11	92	2006	49	1992
Boulder	8	25	85.37	55.93	0.02	97	2019	46	2016
Boulder	8	26	86.7	55.57	0.02	95	2010	44	1992
Boulder	8	27	85.27	56.27	0.02	94	2011	42	1992
Boulder	8	28	84.37	55.33	0.04	94	2019	40	2004
Boulder	8	29	85.63	54.77	0.01	95	2012	44	2004
Boulder	8	30	85.23	54.33	0.07	96	2015	47	1992
Boulder	8	31	84.37	54.23	0.03	96	2011	45	1993
Boulder	9	1	84.23	53.4	0.04	98	2019	45	2005
Boulder	9	2	83.93	54.67	0.04	100	2019	45	2006
Boulder	9	3	84.57	53.43	0.02	97	2017	40	2010
Boulder	9	4	85.17	53.53	0	94	2010	42	2011
Boulder	9	5	83.97	53.53	0.07	97	2019	45	2011
Boulder	9	6	82.13	53.4	0.03	95	2013	43	2008
Boulder	9	7	80.5	51.27	0.07	93	2013	39	2010
Boulder	9	8	81.57	50	0.07	91	2016	36	2001
Boulder	9	9	81.43	51.03	0.03	91	2015	33	2001
Boulder	9	10	80.4	50.77	0.08	94	2012	39	2016
Boulder	9	11	80.57	51.6	0.09	92	2016	40	2007
Boulder	9	12	79.17	50.83	0.44	91	2018	32	2014
Boulder	9	13	79.7	49.07	0.13	95	1990	31	1993
Boulder	9	14	78	47.93	0.04	92	2018	28	1993
Boulder	9	15	79.53	48.3	0.12	93	2018	38	1993
Boulder	9	16	79.9	48.57	0.02	93	2000	37	1991
Boulder	9	17	78.87	49.67	0.03	93	2000	39	1993
Boulder	9	18	76.4	48.43	0.07	90	2018	37	2006
Boulder	9	19	77.13	46.8	0.05	93	2010	34	2003
Boulder	9	20	76.5	46.83	0.08	90	2010	32	1995
Boulder	9	21	74.13	45.7	0.1	89	2017	32	1995
Boulder	9	22	72.2	42.9	0.04	89	2007	23	1995
Boulder	9	23	72.53	45.37	0.08	88	2018	30	2000
Boulder	9	24	73.4	44.53	0.08	86	2019	28	2000
Boulder	9	25	74.93	44.67	0.03	87	2014	28	2000
Boulder	9	26	76.27	44.23	0.04	89	2001	30	1996
Boulder	9	27	75.53	45.33	0.04	90	2001	24	1996
Boulder	9	28	73.77	44.9	0.08	90	2010	31	1999
Boulder	9	29	76.1	45.4	0.03	88	1994	25	1999
Boulder	9	30	74.6	46.37	0.05	84	2005	37	1999
Boulder	10	1	74.5	45.5	0.03	86	2011	34	2003
Boulder	10	2	73.13	45.07	0.09	89	2005	29	2009
Boulder	10	3	70.4	44.23	0.01	85	2018	30	2009
Boulder	10	4	68.73	41.73	0.07	84	1997	31	1999
Boulder	10	5	68.5	41.27	0.04	84	1997	27	1991
Boulder	10	6	66	40.73	0.07	85	1993	28	2009
Boulder	10	7	69.2	38.77	0.03	80	1991	25	2012
Boulder	10	8	68.9	40.03	0.07	81	1991	24	1992
Boulder	10	9	65.47	38.27	0.12	83	2003	24	1990
Boulder	10	10	65.2	37.2	0.1	86	2015	15	2009
Boulder	10	11	68	39.53	0.02	87	1996	15	2019
Boulder	10	12	67.83	38.4	0.04	85	1996	23	2009
Boulder	10	13	67.3	38.33	0.04	84	2015	28	2008
Boulder	10	14	67.7	36.9	0.05	83	2016	20	2018
Boulder	10	15	67.9	37.27	0.01	84	2016	13	2018
Boulder	10	16	68.03	37.33	0.03	87	1991	23	1992
Boulder	10	17	67.43	37.8	0.05	85	2003	15	1999
Boulder	10	18	67	36.7	0.05	85	2003	23	1996
Boulder	10	19	68.07	37.8	0.01	87	2003	26	1999
Boulder	10	20	65.87	38.03	0.02	79	2012	26	2016
Boulder	10	21	65	36.43	0.08	83	2003	24	1996
Boulder	10	22	64.23	36.8	0.05	85	2003	24	2006
Boulder	10	23	63.33	37.1	0.01	86	2003	21	2008
Boulder	10	24	63.53	35.53	0.06	83	2014	25	2019
Boulder	10	25	63.6	35.43	0.08	85	2017	20	1997
Boulder	10	26	62.07	34.2	0.12	79	1999	13	1997
Boulder	10	27	61.34	34.33	0.02	82	2016	14	2011
Boulder	10	28	61.87	34.67	0.09	80	2016	16	2019
Boulder	10	29	59.43	36.07	0.07	81	2003	7	1991
Boulder	10	30	56.67	31.7	0.04	75	2010	3	2019
Boulder	10	31	55.43	31.33	0.04	78	2016	3	2019
Boulder	11	1	55.8	33.27	0.04	75	2008	11	1991
Boulder	11	2	54.37	28.8	0.09	78	2005	-1	1991
Boulder	11	3	55.33	29.93	0.06	77	2015	1	1991
Boulder	11	4	56.77	30.33	0.01	75	2007	16	1992
Boulder	11	5	57.43	31.73	0.03	77	2009	18	1992
Boulder	11	6	57.13	31.53	0.02	76	2010	12	1993
Boulder	11	7	57.87	31.5	0.04	74	2006	9	1990
Boulder	11	8	59.27	32.3	0.04	77	2006	17	1990
Boulder	11	9	57.33	32.73	0.05	79	2019	17	2018
Boulder	11	10	57.9	30.3	0.04	75	2005	17	1998
Boulder	11	11	52.47	29	0.08	70	1990	10	2014
Boulder	11	12	53.7	27.87	0.03	73	1999	0	2014
Boulder	11	13	56.27	29.33	0.01	74	1999	-11	2014
Boulder	11	14	54.2	29.03	0.09	77	1990	1	2014
Boulder	11	15	53.3	27.53	0.05	79	2016	1	1997
Boulder	11	16	55.9	27.73	0.03	80	2016	-1	2014
Boulder	11	17	54.7	28.7	0.06	74	1999	5	1996
Boulder	11	18	55.73	29.2	0.02	78	2008	3	2000
Boulder	11	19	55.13	30.57	0.02	76	2007	14	1994
Boulder	11	20	56.03	29.07	0.03	72	2003	14	2000
Boulder	11	21	54.7	28.47	0.06	73	2012	11	2015
Boulder	11	22	52.83	29.07	0.04	73	2006	11	1992
Boulder	11	23	51.2	26.6	0.03	72	2017	-2	2003
Boulder	11	24	51.8	25.1	0.03	72	2017	-2	1993
Boulder	11	25	52.4	27.13	0.01	77	1990	-8	1993
Boulder	11	26	51.07	26.97	0.07	73	2017	2	1993
Boulder	11	27	50.23	23.5	0.04	76	2017	4	2019
Boulder	11	28	48.5	25.23	0.02	70	2014	4	2019
Boulder	11	29	48.1	24.9	0.05	69	2003	9	2019
Boulder	11	30	49.63	24.8	0.02	68	1995	0	2006
Boulder	12	1	50	25.43	0.02	69	1995	8	1991
Boulder	12	2	49.87	25	0.02	68	1998	5	2009
Boulder	12	3	49.2	23.27	0.05	66	2017	0	2009
Boulder	12	4	47.73	22	0.03	70	2007	-1	2009
Boulder	12	5	45.33	21.67	0.01	71	2012	-9	2013
Boulder	12	6	44.43	20.17	0.02	63	2003	-9	2013
Boulder	12	7	45.37	22.47	0.03	67	2008	-10	2005
Boulder	12	8	45.33	21.73	0.04	68	1996	-8	2005
Boulder	12	9	45.8	20.4	0.05	68	2015	-12	2009
Boulder	12	10	48.9	22.63	0.01	67	1990	-2	2009
Boulder	12	11	49.27	24.3	0.02	67	1990	3	2000
Boulder	12	12	48.93	24.53	0.01	68	2017	1	2000
Boulder	12	13	48.63	25.97	0.01	66	2010	8	2000
Boulder	12	14	48	23.53	0.03	63	2010	-5	2008
Boulder	12	15	46.63	22.27	0.03	70	2006	-15	2008
Boulder	12	16	46	22.37	0.03	63	1991	-7	2008
Boulder	12	17	45.03	20.7	0.02	63	2013	-7	2016
Boulder	12	18	43.7	20.6	0	68	2013	-10	2016
Boulder	12	19	45	18.07	0.02	63	2004	-4	1996
Boulder	12	20	44.37	20.93	0.06	66	2017	-14	1990
Boulder	12	21	43.43	20.33	0.05	64	2019	-20	1990
Boulder	12	22	41.13	17.3	0.05	64	2019	-24	1990
Boulder	12	23	41.7	17.1	0.02	59	2016	-13	1990
Boulder	12	24	44.63	16.53	0.02	60	1999	-6	2004
Boulder	12	25	44.5	20.57	0.04	68	2005	5	2012
Boulder	12	26	44.93	19.8	0.03	67	2005	0	2012
Boulder	12	27	45.57	20.63	0.01	59	2013	2	2017
Boulder	12	28	46.53	23.43	0.02	65	2002	3	2007
Boulder	12	29	44.1	21.73	0.03	64	1996	-5	1990
Boulder	12	30	45.9	21.1	0.02	67	2016	-11	1990
Boulder	12	31	44.43	18.4	0.02	65	2005	-14	2014
