geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010078082	922	18	904	0	0	0	0	0	0	0.336601307	17988	0.354098361	0.547540984	0.01147541	0.057377049	0.029508197	0	0
110010078083	880	0	880	0	0	0	0	0	10	0.379545455	9844	0.038123167	0.838709677	0.029325513	0.064516129	0	0.029325513	0
110010078091	1889	44	1833	0	0	0	0	12	10	0.339361702	17322	0.205128205	0.542597188	0.079404467	0.069478908	0.098428453	0.004962779	0
110010078092	819	0	782	11	10	0	0	16	16	0.215686275	25192	0.188356164	0.650684932	0.059931507	0.059931507	0.04109589	0	0
110010079011	222	12	190	0	13	0	0	7	0	0.081081081	39756	0.145945946	0.6	0	0.113513514	0.140540541	0	0
110010079012	1200	107	1044	0	30	0	0	19	12	0.251666667	27193	0.227560051	0.527180784	0.068268015	0.074589128	0.037926675	0.007585335	0.056890013
110010079013	1713	194	1393	54	38	0	0	34	26	0.242848803	24018	0.153389831	0.494067797	0.112711864	0.144067797	0.061864407	0.022881356	0.011016949
110010079014	1193	85	1065	12	0	0	17	14	93	0.315171836	22186	0.345549738	0.366492147	0.019633508	0.091623037	0.113874346	0	0.062827225
110010079031	1634	142	1423	13	9	0	0	47	6	0.205445545	24399	0.123931624	0.585470085	0.036752137	0.161538462	0.070940171	0.013675214	0.007692308
110010080011	875	375	352	0	148	0	0	0	61	0.02166065	52345	0.083333333	0.238700565	0.036723164	0.299435028	0.218926554	0.016949153	0.105932203
110010080012	1253	622	507	0	35	0	0	89	35	0.162809258	60739	0.026743075	0.265520535	0.064947469	0.35434575	0.212034384	0.05730659	0.019102197
110010080013	578	381	160	0	25	0	0	12	22	0.129757785	62662	0.043572985	0.209150327	0	0.34204793	0.302832244	0.058823529	0.043572985
110010080021	1369	737	617	0	7	0	0	8	35	0.074506939	57001	0.076791809	0.264505119	0.111774744	0.270477816	0.182593857	0.08105802	0.012798635
